stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0002,671,Quantin,,47.34103,5.05691,,,0,CTP0002
CTP0002,671,Quantin,,47.34103,5.05691,,,1,
0003,672,Joffre,,47.34031,5.05293,,,0,CTP0003
CTP0003,672,Joffre,,47.34031,5.05293,,,1,
0006,675,Giraud,,47.33585,5.05157,,,0,CTP0006
CTP0006,675,Giraud,,47.33585,5.05157,,,1,
0007,676,Alsace,,47.33398,5.05285,,,0,CTP0007
CTP0007,676,Alsace,,47.33398,5.05285,,,1,
0008,677,Reims,,47.33264,5.05107,,,0,CTP0008
CTP0008,677,Reims,,47.33264,5.05107,,,1,
0021,103,Giono,,47.35225,5.04861,,,0,CTP0021
CTP0021,103,Giono,,47.35225,5.04861,,,1,
0024,235,Bossuet,,47.32148,5.03657,,,0,CTP0024
CTP0024,235,Bossuet,,47.32148,5.03657,,,1,
0026,272,Bossuet,,47.32081,5.03701,,,0,CTP0024
0027,236,Zola,,47.31953,5.03332,,,0,CTP0027
CTP0027,236,Zola,,47.31953,5.03332,,,1,
0028,271,Zola,,47.31925,5.03503,,,0,CTP0027
0030,1299,Verdun,,47.34461,5.03214,,,0,CTP0030
CTP0030,1299,Verdun,,47.34461,5.03214,,,1,
0032,600,Faubourg de Raines,,47.31792,5.02711,,,0,CTP0032
CTP0032,600,Faubourg de Raines,,47.31792,5.02711,,,1,
0033,653,Rolin,,47.31616,5.02664,,,0,CTP0033
CTP0033,653,Rolin,,47.31616,5.02664,,,1,
0035,602,Marillier,,47.31405,5.01942,,,0,CTP0035
CTP0035,602,Marillier,,47.31405,5.01942,,,1,
0036,603,Diebold,,47.31381,5.01725,,,0,CTP0036
CTP0036,603,Diebold,,47.31381,5.01725,,,1,
0037,604,Bourroches Eiffel,,47.31334,5.01285,,,0,CTP0037
CTP0037,604,Bourroches Eiffel,,47.31334,5.01285,,,1,
0041,654,"Patte d'Oie",,47.31186,5.00391,,,0,CTP0041
CTP0041,654,"Patte d'Oie",,47.31186,5.00391,,,1,
0043,608,Dadolle,,47.30773,4.99926,,,0,CTP0043
CTP0043,608,Dadolle,,47.30773,4.99926,,,1,
0047,622,Favier,,47.30553,4.99383,,,0,CTP0047
CTP0047,622,Favier,,47.30553,4.99383,,,1,
0048,623,Bordet,,47.30615,4.99566,,,0,CTP0048
CTP0048,623,Bordet,,47.30615,4.99566,,,1,
0052,1047,la Garande,,47.24319,5.11256,,,0,CTP0052
